experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
RY20240607,4541,BCM,1,23.109787064280095,1358.3545301069219,14.5969349564994,1321.8801350590884,1.6729503244271513
RY20240607,4541,BCM,2,22.759506651311145,984.7591208791209,16.85386150866685,729.1978021978022,1.5441762934594683
RY20240607,4541,BCM,3,19.019264866617213,893.5611336032389,13.726291563641063,659.195951417004,1.5822747743979282
RY20240607,4541,BCM,4,21.465871830340344,965.1727416798732,17.113666111935913,693.418383518225,1.489287979894506
RY20240607,4541,BCM,5,21.55465585722394,916.7285180572852,14.301648548721971,701.8580323785803,1.741255166689465
RY20240607,4541,BCM,6,13.003798115306678,926.5424567188788,10.200815553908036,671.9719703215169,1.4340092411695826
RY20240607,4541,MSN,1,27.549054753496815,1592.4739583333333,14.4594677482795,1742.1319444444443,2.1381661911665315
RY20240607,4541,MSN,2,27.373250939239444,1251.1005434782608,15.380081782104469,1108.4402173913043,2.1313036866395128
RY20240607,4541,MSN,3,29.282745696992706,1429.4064609450338,17.086457970022778,1492.5472516875602,1.916290238370913
RY20240607,4541,MSN,4,41.53375570592611,1170.5692963752665,22.57136691288313,1008.9609097370292,2.045593932033906
RY20240607,4541,MSN,5,39.17070024860077,1731.8343558282209,22.78573105537946,1851.9631901840492,1.8476218124312753
RY20240607,4541,MSN,6,30.755033300176454,1029.1788908765652,16.686652207457634,834.0339892665475,2.1421412314102177
RY20240607,4541,PGE2,1,24.41586402430624,1096.55,14.913615011669567,934.9886363636364,1.852372221657392
RY20240607,4541,PGE2,2,18.717939185476848,1444.4723788049605,9.107552042979771,1406.5738444193912,2.472166614429438
RY20240607,4541,PGE2,3,27.820927146310606,1355.4753018660813,13.305061844095075,1437.8463227222833,2.2309236444586285
RY20240607,4541,PGE2,4,44.52324399063686,1976.2021276595744,22.39259672151727,2363.6117021276596,2.201748490430387
RY20240607,4541,PGE2,5,23.935517285769837,1059.2920652785594,15.121951115758737,886.5284186831739,1.7791891821152834
RY20240607,4541,PGE2,6,30.304952313100717,1276.3432664756447,13.316296798759645,1286.4166189111747,2.5082850003935926
RY20240608,4543,BCM,1,20.119971453468622,1168.3603504928806,17.08242226726996,906.1276013143483,1.2559118114911039
RY20240608,4543,BCM,2,28.946160686172664,1130.5691166554282,22.650954035808624,890.6439649359406,1.3571281870509337
RY20240608,4543,BCM,3,28.536257217040248,1277.0886411889596,18.985498756829536,1475.7765392781316,1.5131462681555499
RY20240608,4543,BCM,4,31.403929391858558,1090.5627906976745,20.8827728916983,1022.7162790697674,1.6096249197053958
RY20240608,4543,BCM,5,22.155666419765595,1106.3502252252251,19.98889507772032,856.9977477477478,1.2808202195422762
RY20240608,4543,BCM,6,40.50149822518877,1521.4647651006712,23.813754299110737,1627.518456375839,1.8098984423388949
RY20240608,4543,MSN,1,29.97927649694018,1599.10551558753,17.18230543188965,1815.9370503597122,1.8715199158929734
RY20240608,4543,MSN,2,29.102237212713405,1337.2791023842917,16.56097064776997,1541.6753155680224,1.8456746356735727
RY20240608,4543,MSN,3,21.79483711642304,1146.4150268336314,14.094850193332608,1074.3434704830054,1.817146664416519
RY20240608,4543,MSN,4,26.12950613913203,1167.5609271523178,16.00419641383828,1108.5854304635761,1.8421947719769836
RY20240608,4543,MSN,5,30.534255412156458,1146.9900332225914,22.33939236788849,1164.375415282392,1.5868179133037181
